Epochs,Loss_Disc,Loss_Gene,FID
0,5755.3359375,3.078953981399536,152.26945985417328
100,-0.8808542490005493,1.7901644706726074,135.30171000592838
200,-1.8059730529785156,6.020875453948975,98.71664362436798
300,-1.2177964448928833,4.2732110023498535,79.50947467630289
400,-1.6406043767929077,5.492077827453613,78.12669737001238
500,-1.6490682363510132,4.85225772857666,75.46806977430657
600,-1.3676018714904785,6.3359575271606445,79.13415967445371
700,-2.106593608856201,6.296176910400391,73.35253089417074
800,-1.9200303554534912,6.880444526672363,74.83809931022108
900,-1.7647264003753662,6.474431037902832,69.94245288606965
1000,-2.352780342102051,5.952012062072754,81.53942169244857
1100,-2.6148171424865723,4.999309539794922,71.0769801972362
1200,-2.4542906284332275,4.740250587463379,73.5613292253692
1300,-2.3503541946411133,6.269060134887695,68.1132715144098
1400,-2.340367555618286,6.443396091461182,73.14942339987772
1500,-2.4541664123535156,5.130493640899658,69.47561850083821
1600,-1.471022605895996,4.3120222091674805,68.39783420473628
1700,-2.7391481399536133,4.2123212814331055,70.20557659847566
1800,-2.7122840881347656,5.733469486236572,66.44539261448972
1900,-2.3081119060516357,4.780998229980469,71.27830167204525
2000,-2.3404788970947266,4.502901077270508,69.97341000973222
2100,-2.684943914413452,4.600783348083496,68.87443272542879
2200,-2.8700952529907227,4.533105373382568,71.51982000305003
2300,-2.6076362133026123,4.37406063079834,71.35836114086715
2400,-2.663966655731201,4.417797565460205,70.36537044499619
2500,-2.910858631134033,4.2713236808776855,67.70568613093423
2600,-2.7205069065093994,3.7433454990386963,75.58019981050751
2700,-2.485182046890259,3.5619747638702393,71.22316772121712
